SLIDE :
Az=0.0; Alf=138.0; Del=-60.0
          X             Y           Mv    ALFA   DELTA
   1   213.4449005   208.9675293   2.28  139.27 -59.28
   2    84.6661377    67.7666397   3.28  142.81 -57.03
   3   264.7059937   188.3927917   3.37  137.74 -58.97
   4   391.9596558   302.5762329   3.80  133.76 -60.64
   5   261.4877319   407.7362061   3.90  137.82 -62.32
   6    68.1733704   213.4937134   4.09  143.61 -59.23
   7   219.0732269    95.2767334   4.44  139.05 -57.54
   8   483.0545349    54.8646049   4.44  131.68 -56.77
   9    41.3713799   354.1891785   4.49  144.84 -61.33
  10   381.7774353   209.1014862   4.85  134.24 -59.23
  11   188.1326141   414.6502380   4.96  140.24 -62.40
  12   361.9012451   198.5216064   5.26  134.85 -59.08
  13   434.7213745   107.7555923   5.56  132.90 -57.63
  14   152.4403381   386.3926697   5.81  141.36 -61.95
